show_id,type,title,director,date_added,rating,duration,description
81025973,Movie,Belmonte,Federico Veiroj,7-Jun-19,TV-MA,74 min,An artist muddles through a midlife crisis while trying to balance his dimming career with a yearning to be a better father.
81061410,Movie,Beneath the Leaves,Adam Marino,8-Jun-19,TV-MA,90 min,"An escaped psychopathic child killer faces off against one of his former victims, who has since become a hard-nosed detective."
80204923,Movie,Benji,Brandon Camp,16-Mar-18,TV-PG,87 min,A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.
81173792,Movie,Betty White: First Lady of Television,Steve Boettcher,12-Jan-20,TV-14,56 min,This documentary on actress and television producer Betty White traces her decades-long career as a  woman breaking new ground in entertainment.
80243600,Movie,Between Two Ferns: The Movie,Scott Aukerman,20-Sep-19,TV-MA,83 min,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show."
80989339,Movie,Between Worlds,Maria Pulera,6-Apr-19,R,91 min,"Grieving for his dead wife and daughter, a trucker plunges into a romance with a mother who needs his help. The dead, however, are far from gone."
81005454,Movie,Beyond the Clouds,Majid Majidi,10-Aug-18,TV-14,120 min,A youthful drug dealer in Mumbai must change his ways when the sister who raised him is assaulted by her boss and imprisoned for defending herself.
80243541,Movie,Bhavesh Joshi Superhero,Vikramaditya Motwane,16-Aug-18,TV-14,150 min,"When his best friend is killed for uncovering political corruption, an idealistic young man decides to become a masked fighter for justice."
81001090,Movie,Big Kill,Scott Martin,18-Jun-19,R,126 min,A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.
80221584,Movie,"Bikram: Yogi, Guru, Predator",Eva Orner,20-Nov-19,TV-MA,86 min,This documentary charts the rise and fall of hot yoga founder Bikram Choudhury as his global empire is born and disturbing revelations come to light.
81060174,Movie,Bill Burr: Paper Tiger,Mike Binder,10-Sep-19,TV-MA,67 min,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London."
81002591,Movie,Billy Graham: An Extraordinary Journey,"Vonda Harrell, Daniel Camenisch",28-Feb-19,TV-PG,66 min,This documentary recounts the life story of evangelist preacher Billy Graham featuring interviews with family members and former presidents.
80196789,Movie,Bird Box,Susanne Bier,21-Dec-18,R,124 min,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety."
80241779,Movie,Birthmarked,Emanuel Hoss-Desmarais,28-Jun-18,TV-MA,88 min,"In an attempt to settle the ""nature vs. nurture"" debate, a scientist couple raises three children to live lives that defy their genetic dispositions."
81145271,Movie,Black & Privileged: Volume 1,Mark Harris,12-Jul-19,TV-MA,79 min,"When low-income families move into a thriving black community in Chicago, they find themselves at odds with politicians to maintain their status."
80201906,Movie,Black Panther,Ryan Coogler,4-Sep-18,PG-13,135 min,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new."
80217733,Movie,Bleach,Shinsuke Sato,14-Sep-18,TV-14,109 min,"When high schooler Ichigo is suddenly given reaper abilities, he really wants to give the powers back. But he'll have to reap some souls first."
81018067,Movie,Blood Will Tell,"Miguel Cohan, Miguel Cohan",21-Jun-19,TV-MA,113 min,Family patriarch Elías begins to unravel after the death of his wife – which casts a suspicious light on her tragic accident.
81083891,Movie,Bob Lazar: Area 51 & Flying Saucers,Jeremy Kenyon Lockyer Corbell,18-Jun-19,TV-MA,97 min,"Decades ago, Bob Lazar blew the whistle on Area 51. Now he’s back to explain the alien tech he worked with, and the government's war to shut him up."
81018536,Movie,Bobby Robson: More Than a Manager,"Gabriel Clarke, Torquil Jones",1-Dec-18,TV-14,99 min,"Explore the life and times of legendary soccer manager Bobby Robson, whose keen mind for the game was matched only by his devotion to his teams."
81155782,Movie,Bogda,Nisheeta Keni,16-Jul-19,TV-PG,161 min,An aspiring dancer accompanies her terminally ill mother on one last road trip that alternately strains and strengthens their knotty relationship.
80173485,Movie,Boi,Jorge M. Fontana,26-Jul-19,TV-MA,111 min,A young chauffeur who's at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.
81013990,Movie,Bombairiya,Pia Sukanya,15-Mar-19,TV-14,108 min,"A PR agent trying to find her stolen phone, a politician in trouble, and a fading celebrity find their lives intertwining in unexpected, messy ways."
81037733,Movie,Brampton's Own,Michael Doneger,19-Apr-19,TV-MA,90 min,"After 12 years in the minors, a struggling baseball player retires, returns home and faces the last person he struck out with – his ex-girlfriend."
80244190,Movie,Breath,Simon Baker,5-Dec-18,TV-MA,116 min,"In mid-1970s Australia, two small-town teenage boys befriend an enigmatic middle-aged surfer, who urges them to see the thrill in facing their fears."
80992995,Movie,Brij Mohan Amar Rahe,Nikhil Nagesh Bhat,4-Aug-18,TV-MA,100 min,Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan – until he was sentenced to death for his own murder.
80198859,Movie,Brother,Julien Abraham,22-Nov-19,TV-MA,97 min,"Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive."
81158574,Movie,Brother in Love,Onur Bilgetay,4-Oct-19,TV-14,110 min,"A robbery leaves a proprietor penniless before his wedding, but becoming a son-in-law to a second family might be the financial solution he needs."
81029848,Movie,Bucket List,Tejas Prabha Vijay Deoskar,5-Nov-18,TV-14,129 min,"After getting a heart transplant, a 40-year-old homemaker in Pune makes the life-changing decision to complete the bucket list of her 20-year-old donor."
80987464,Movie,Budapest,Xavier Gens,1-Mar-19,TV-MA,103 min,"Two best friends put their careers and marriages on the line when they launch a business hosting outrageous, anything-goes bachelor parties in Hungary."
81019144,Movie,Buffalo Boys,Mike Wiluan,12-Apr-19,TV-MA,103 min,Two Indonesian brothers learn the ways of the American cowboy before returning home to avenge the murder of their father.
81026003,Movie,Bulbul Can Sing,Rima Das,15-Jan-20,TV-14,95 min,"Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy."
81032375,Movie,Bullitt County,David McCracken,1-Jun-19,TV-MA,98 min,"When four college friends reunite for a bachelor party, their hunt for cash said to be hidden in Kentucky's backwoods leads to bloodshed and betrayal."
81015498,Movie,Burning,Lee Chang-dong,29-Apr-19,TV-MA,148 min,An aspiring writer goes to the airport to pick up a high school friend returning from a trip to Africa but is disheartened to see her with another man.
81092045,Movie,Burning Cane,Phillip Youmans,6-Nov-19,TV-MA,78 min,"A small-town Louisiana minister and one of his parishioners cope with grief, alcoholism and a crisis of faith in this dramatic character study."
80222787,Movie,BuyBust,Erik Matti,13-Nov-18,TV-MA,128 min,"In a mazelike Manila slum, at war with incensed civilians and a brutal cartel, special agent Nina Manigan must fight her way through one fierce night."
81110389,Movie,Cake,Asim Abbasi,15-May-19,TV-14,125 min,"When their aging father’s illness reunites two sisters under one roof, new tensions arise between them as old wounds and hidden secrets surface."
80198478,Movie,Calibre,Matt Palmer,29-Jun-18,TV-MA,101 min,Two lifelong friends on a hunting trip in Scotland find their nerves – and their morals – ruthlessly tested after a harrowing turn of events.
81146011,Movie,Calum von Moger: Unbroken,Vlad Yudin,13-Aug-19,TV-MA,93 min,"Bodybuilder and two-time Mr. Universe, Calum von Moger, reflects on his rise to fame and battle to come back from a debilitating injury."
80177400,Movie,Cam,Daniel Goldhaber,16-Nov-18,TV-MA,95 min,"After a look-alike takes over her account, a cam girl with a growing fan base sets out to identify the mysterious culprit and reclaim her own identity."
80232891,Movie,Camarón: The Film,Alexis Morante,18-Jul-18,TV-14,105 min,"This documentary looks back on the life of legendary flamenco singer Camarón, who went from humble roots to rock star status to a tragic early death."
80164864,Movie,Candy Jar,Ben Shelton,27-Apr-18,TV-14,93 min,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.
80161216,Movie,Cargo,"Yolanda Ramke, Ben Howling",18-May-18,TV-MA,104 min,"Amid a terrifying pandemic, a father searches the wilds of Australia for someone willing to protect and care for his infant daughter."
80218111,Movie,Catching Feelings,Kagiso Lediga,18-May-18,TV-MA,117 min,"Amid growing tensions in their marriage, a Johannesburg professor and his journalist wife find their lives upended by a famous, hard-partying author."
81154987,Movie,Chhota Bheem Kungfu Dhamaka,"Rajiv Chilaka, Binayak Das",15-Aug-19,TV-Y7-FV,112 min,Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperor’s daughter from being kidnapped by the villain Zuhu!
81074015,Movie,Chief Daddy,Niyi Akinmolayan,15-Mar-19,TV-14,98 min,"When a wealthy patriarch unexpectedly drops dead, his money-crazed family, friends and staff scramble for his billionaire fortune."
80993095,Movie,Chopsticks,Sachin Yardi,31-May-19,TV-MA,101 min,A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.
80167498,Movie,Chris Rock: Tamborine,Bo Burnham,14-Feb-18,TV-MA,65 min,"Chris Rock takes the stage in Brooklyn for a comedy special filled with searing observations on fatherhood, infidelity and American politics."
81154982,Movie,Christmas Break-In,Michael Kampa,1-Nov-19,TV-PG,87 min,"Stranded at school before holiday break, a precocious girl gets into the spirit of saving when a trio of robbers trespass and hold the janitor hostage."
81074542,Movie,Christmas Survival,James Dearden,1-Nov-19,TV-MA,101 min,"With Christmas just around the corner, sisters Miranda and Lyla bring their families to their childhood home, where rivalries don't take a holiday."
80224055,Movie,Christmas With A View,Justin G. Dyck,1-Nov-18,TV-PG,91 min,"Still reeling from a business failure, the restaurant manager of a ski resort finds her world jolted by a new chef, who has his own hidden past."
80221560,Movie,Christopher Robin,Marc Forster,5-Mar-19,PG,104 min,"Now a careworn middle-aged man, Christopher Robin goes on a familiar adventure when his old pal Winnie the Pooh brings him to the Hundred Acre Wood."
81024041,Movie,Cities of Last Things,Wi Ding Ho,12-Jul-19,TV-MA,106 min,"In a dystopian tale unfolding in reverse chronology, a man with a complicated past takes revenge on the individuals who wronged him decades ago."
81156627,Movie,Clarence Clemons: Who Do I Think I Am?,Nick Mead,14-Nov-19,TV-MA,88 min,This intimate documentary follows the life of legendary saxophonist Clarence Clemons and his spiritual awakening before his death in 2011.
80987075,Movie,Class Rank,Eric Stoltz,18-Sep-18,TV-14,103 min,"When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system."
80226951,Movie,"Club de Cuervos Presents: I, Potro",Marcos Bucay,19-Oct-18,TV-MA,51 min,Former Club de Cuervos player Potro returns home to Argentina to crash the wedding of his famous soccer-star brother and confront his estranged family.
80152625,Movie,Come Sunday,Joshua Marston,13-Apr-18,TV-14,105 min,A crisis of faith sets renowned fundamentalist preacher Carlton Pearson on a new spiritual path that jeopardizes everything he holds dear.
80244123,Movie,Como caído del cielo,Pepe Bojórquez,24-Dec-19,TV-14,117 min,"To earn his place in heaven, legendary Mexican actor-singer Pedro Infante is sent back to Earth in an impersonator's body to mend his womanizing ways."
80997402,Movie,Counterfeiting in Suburbia,Jason Bourque,1-Jul-18,TV-14,88 min,"Two teenagers print counterfeit money in their high school art room, but things go terribly wrong when their debt-ridden teacher becomes suspicious."
81172754,Movie,Crazy people,Moses Inwang,29-Nov-19,TV-14,107 min,Nollywood star Ramsey Nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.
81015153,Movie,Crossroads: One Two Jaga,Nam Ron,1-Dec-18,TV-14,81 min,"In Kuala Lumpur, an abused domestic worker tries to escape to Indonesia, while an idealistic cop insists on fighting corruption  – at a heavy price."
80213654,Movie,D.L. Hughley: Contrarian,Jay Chapman,21-Jul-19,TV-MA,58 min,"D.L. Hughley riffs on hot-button political issues, celebrity scandals, his mother's tough love and more in a rapid-fire stand-up show in Philadelphia."
81122669,Movie,Daddy Issues,Amara Cash,20-Sep-19,TV-MA,82 min,"Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well."
